Station ID,Date,Hour,Atm P,T air,Dew point,RH
466920,20060101,1,1020.1,19.6,15.8,79
466920,20060101,2,1019.7,19.3,16.1,82
466920,20060101,3,1019.6,19.4,16.2,82
466920,20060101,4,1019.6,19.3,16,103
466920,20060101,5,1019.8,19,15.7,81
466920,20060101,6,1020.3,19,23,80
466920,20060101,7,1020.6,18.8,15.4,81
466920,20060101,8,1021.4,19.3,15.8,110
466920,20060101,9,1021.2,20.2,21,79
466920,20060101,10,1020.6,20.8,22,75
466920,20060101,11,1019.5,21.6,16.6,73
466920,20060101,12,1018.4,22.6,16.8,70
466920,20060101,13,1017.4,22.3,16.2,68
466920,20060101,14,1017,21.9,15.6,67
466920,20060101,15,1016.9,21.3,15.5,70
466920,20060101,16,1017.6,20.7,-9999,70
466920,20060101,17,1018.1,20.4,14.8,70
466920,20060101,18,1018.7,20.2,14.5,70
466920,20060101,19,1019.2,20.2,14.9,180
466920,20060101,20,1019.5,19.9,-9999,73
466920,20060101,21,1019.8,19.3,14.9,76
466920,20060101,22,1019.8,19.1,14.9,77
466920,20060101,23,1019.7,18.9,14.2,-9999
466920,20060101,24,1019.4,19,14.2,74
