NO,date,hr,AMB_TEMP,PM10,PM2.5
1,2009/1/1,0,14.94,113,63
2,2009/1/1,1,14.67,123,66
3,2009/1/1,2,14.21,99,54
4,2009/1/1,3,13.98,82,41
5,2009/1/1,4,13.7,62,34
6,2009/1/1,5,13.24,64,34
7,2009/1/1,6,12.82,66,34
8,2009/1/1,7,12.67,61,29
9,2009/1/1,8,13,63,27
10,2009/1/1,9,13.39,59,30
11,2009/1/1,10,13.69,61,32
12,2009/1/1,11,14.11,51,32
13,2009/1/1,12,14.18,60,31
14,2009/1/1,13,13.86,54,30
15,2009/1/1,14,13.92,62,33
16,2009/1/1,15,13.94,56,30
17,2009/1/1,16,13.91,61,35
18,2009/1/1,17,13.89,68,36
19,2009/1/1,18,13.89,66,41
20,2009/1/1,19,13.93,70,36
21,2009/1/1,20,14.01,67,36
22,2009/1/1,21,14.05,76,40
23,2009/1/1,22,14.1,83,43
24,2009/1/1,23,14.09,82,43
25,2009/1/2,0,13.98,78,38
26,2009/1/2,1,14.04,66,39
27,2009/1/2,2,14.21,63,36
28,2009/1/2,3,14.19,53,34
29,2009/1/2,4,14.09,49,25
30,2009/1/2,5,14.12,45,27
31,2009/1/2,6,14.15,42,20
32,2009/1/2,7,14.41,43,22
33,2009/1/2,8,14.66,37,21
34,2009/1/2,9,14.91,39,22
35,2009/1/2,10,15.64,46,23
36,2009/1/2,11,16.04,51,20
37,2009/1/2,12,16.14,52,20
38,2009/1/2,13,16.5,39,18
39,2009/1/2,14,16.32,36,18
40,2009/1/2,15,16.26,40,24
41,2009/1/2,16,16.53,42,22
42,2009/1/2,17,16.41,46,24
43,2009/1/2,18,16.37,44,17
44,2009/1/2,19,16.04,43,26
45,2009/1/2,20,15.92,38,24
46,2009/1/2,21,16.05,37,30
47,2009/1/2,22,15.81,39,22
48,2009/1/2,23,15.76,44,14
49,2009/1/3,0,15.39,36,9
50,2009/1/3,1,15.38,33,10
51,2009/1/3,2,15.29,19,10
52,2009/1/3,3,15.72,20,10
53,2009/1/3,4,15.86,25,4
54,2009/1/3,5,16.27,29,11
55,2009/1/3,6,16.44,31,13
56,2009/1/3,7,16.67,26,16
57,2009/1/3,8,18.1,28,16
58,2009/1/3,9,19.23,32,11
59,2009/1/3,10,19.26,40,16
60,2009/1/3,11,19.96,45,13
61,2009/1/3,12,20.24,40,19
62,2009/1/3,13,20.63,39,10
63,2009/1/3,14,20.52,32,14
64,2009/1/3,15,20.29,32,10
65,2009/1/3,16,19.79,35,14
66,2009/1/3,17,19.1,36,12
67,2009/1/3,18,18.7,39,19
68,2009/1/3,19,18.37,31,16
69,2009/1/3,20,18.64,29,16
70,2009/1/3,21,18.79,27,12
71,2009/1/3,22,18.28,35,15
72,2009/1/3,23,18.09,40,17
73,2009/1/4,0,18.12,33,16
74,2009/1/4,1,18.07,24,10
75,2009/1/4,2,18.25,10,8
76,2009/1/4,3,18.41,14,8
77,2009/1/4,4,18.33,14,9
78,2009/1/4,5,18.36,23,7
79,2009/1/4,6,18.07,30,7
80,2009/1/4,7,18.18,35,11
81,2009/1/4,8,18.93,30,8
82,2009/1/4,9,19.66,28,13
83,2009/1/4,10,20.01,26,9
84,2009/1/4,11,20.56,33,18
85,2009/1/4,12,21.03,30,13
86,2009/1/4,13,21.42,23,18
87,2009/1/4,14,20,23,14
88,2009/1/4,15,19.68,22,12
89,2009/1/4,16,19.46,26,17
90,2009/1/4,17,18.84,21,15
91,2009/1/4,18,18.53,26,18
92,2009/1/4,19,18.42,24,12
93,2009/1/4,20,18.65,24,22
94,2009/1/4,21,18.84,19,18
95,2009/1/4,22,18.91,24,18
96,2009/1/4,23,19.08,31,9
97,2009/1/5,0,19.16,26,9
98,2009/1/5,1,19.09,26,12
99,2009/1/5,2,19.2,13,12
100,2009/1/5,3,18.97,19,12
101,2009/1/5,4,18.97,10,11
102,2009/1/5,5,19.02,18,11
103,2009/1/5,6,18.95,19,12
104,2009/1/5,7,18.84,28,16
105,2009/1/5,8,19.07,30,21
106,2009/1/5,9,19.32,30,22
107,2009/1/5,10,19.38,34,21
108,2009/1/5,11,19.26,33,16
109,2009/1/5,12,19.12,34,21
110,2009/1/5,13,19.57,28,14
111,2009/1/5,14,19.61,28,17
112,2009/1/5,15,19.22,23,12
113,2009/1/5,16,19.1,29,21
