"day","Den.pm2.5"
"1","Medium"
"2","Low"
"3","Low"
"4","Low"
"5","Low"
"6","Low"
"7","Low"
"8","Low"
"9","High"
"10","Medium"
"11","Low"
"12","Medium"
"13","Low"
"14","Low"
"15","Low"
"16","Low"
"17","Low"
"18","Low"
"19","Low"
"20","Medium"
"21","Medium"
"22","Medium"
"23","Low"
"24","Low"
"25","Low"
"26","Low"
"27","Low"
"28","Low"
"29","Low"
"30","Low"
"31","Low"
"32","Low"
"33","Low"
"34","Low"
"35","Low"
"36","Low"
"37","Low"
"38","Low"
"39","Low"
"40","Low"
"41","High"
"42","Low"
"43","Medium"
"44","Low"
"45","Medium"
"46","Medium"
"47","Low"
"48","Low"
"49","Low"
"50","Medium"
"51","Low"
"52","Medium"
"53","Medium"
"54","Low"
"55","High"
"56","Medium"
"57","Low"
"58","Low"
"59","Low"
"60","Low"
"61","Low"
"62","Low"
"63","Low"
"64","Low"
"65","Low"
"66","Low"
"67","Low"
"68","Low"
"69","Low"
"70","Low"
"71","Medium"
"72","Medium"
"73","Low"
"74","Low"
"75","Medium"
"76","High"
"77","Medium"
"78","Low"
"79","High"
"80","Serious"
"81","Medium"
"82","Low"
"83","Low"
"84","Medium"
"85","Medium"
"86","Medium"
"87","Low"
"88","Low"
"89","Low"
"90","Low"
"91","High"
"92","Medium"
"93","Low"
"94","Low"
"95","Low"
"96","Low"
"97","Low"
"98","Low"
"99","Low"
"100","Medium"
"101","Low"
"102","Low"
"103","Low"
"104","Low"
"105","Low"
"106","Low"
"107","Low"
"108","Low"
"109","Low"
"110","Low"
"111","Low"
"112","Low"
"113","Low"
"114","Low"
"115","Low"
"116","Low"
"117","Low"
"118","Low"
"119","Low"
"120","Low"
"121","Low"
"122","Low"
"123","Low"
"124","Low"
"125","Low"
"126","Low"
"127","Low"
"128","Low"
"129","Low"
"130","Medium"
"131","Low"
"132","Low"
"133","Medium"
"134","Low"
"135","Medium"
"136","Medium"
"137","Medium"
"138","Low"
"139","Medium"
"140","Medium"
"141","Medium"
"142","Low"
"143","Low"
"144","Low"
"145","Low"
"146","Low"
"147","Low"
"148","Low"
"149","Low"
"150","Medium"
"151","Medium"
"152","Medium"
"153","Low"
"154","Medium"
"155","Low"
"156","Low"
"157","Medium"
"158","Medium"
"159","Medium"
"160","High"
"161","Medium"
"162","Low"
"163","Low"
"164","Low"
"165","Low"
"166","Low"
"167","Low"
"168","Low"
"169","Low"
"170","Low"
"171","Low"
"172","Low"
"173","Low"
"174","Low"
"175","Low"
"176","Low"
"177","Low"
"178","Low"
"179","Low"
"180","Low"
"181","Low"
"182","Low"
"183","Low"
"184","Low"
"185","Low"
"186","Low"
"187","Low"
"188","Low"
"189","Low"
"190","Low"
"191","Low"
"192","Low"
"193","Low"
"194","Low"
"195","Low"
"196","Low"
"197","Low"
"198","Low"
"199","Low"
"200","Low"
"201","Low"
"202","Low"
"203","Low"
"204","Low"
"205","Low"
"206","Low"
"207","Low"
"208","Low"
"209","Low"
"210","Low"
"211","Low"
"212","Low"
"213","Low"
"214","Low"
"215","Low"
"216","Low"
"217","Low"
"218","Low"
"219","Low"
"220","Low"
"221","Low"
"222","Low"
"223","Low"
"224","Low"
"225","Low"
"226","Low"
"227","Low"
"228","Low"
"229","Low"
"230","Low"
"231","Low"
"232","Medium"
"233","Medium"
"234","Low"
"235","Low"
"236","Low"
"237","Low"
"238","Low"
"239","Low"
"240","Medium"
"241","Low"
"242","Low"
"243","Low"
"244","Low"
"245","Low"
"246","Low"
"247","Low"
"248","Low"
"249","Low"
"250","Low"
"251","Low"
"252","Low"
"253","Low"
"254","Low"
"255","Low"
"256","Low"
"257","Low"
"258","Low"
"259","Low"
"260","Low"
"261","Low"
"262","Low"
"263","Low"
"264","Low"
"265","Low"
"266","Low"
"267","Low"
"268","Low"
"269","Low"
"270","Low"
"271","Low"
"272","Low"
"273","Low"
"274","Low"
"275","Low"
"276","Low"
"277","Low"
"278","Low"
"279","Low"
"280","Low"
"281","Low"
"282","Low"
"283","Low"
"284","Low"
"285","Low"
"286","Low"
"287","Low"
"288","Low"
"289","Low"
"290","Medium"
"291","Medium"
"292","Medium"
"293","Low"
"294","Low"
"295","Low"
"296","Low"
"297","Low"
"298","Low"
"299","Medium"
"300","Low"
"301","Low"
"302","Low"
"303","Low"
"304","Low"
"305","Low"
"306","Medium"
"307","Low"
"308","Low"
"309","Low"
"310","Low"
"311","Low"
"312","Medium"
"313","Low"
"314","Low"
"315","Low"
"316","Low"
"317","Low"
"318","Low"
"319","Low"
"320","Low"
"321","Low"
"322","Low"
"323","Low"
"324","Low"
"325","Low"
"326","Low"
"327","Low"
"328","Low"
"329","Low"
"330","Low"
"331","Low"
"332","Low"
"333","Low"
"334","Low"
"335","Medium"
"336","Medium"
"337","Medium"
"338","Medium"
"339","Medium"
"340","Low"
"341","Low"
"342","Low"
"343","Low"
"344","Medium"
"345","Medium"
"346","Low"
"347","Low"
"348","Low"
"349","Low"
"350","Low"
"351","Low"
"352","Medium"
"353","Medium"
"354","Medium"
"355","Medium"
"356","Medium"
"357","High"
"358","Low"
"359","Medium"
"360","High"
"361","Low"
"362","Low"
"363","Medium"
"364","Medium"
"365","Medium"
