"Timea","Windchill","Pressure"
1,-18.7122476960611,1017.95413633254
2,-18.8922073260093,1017.47472308152
3,-13.1469536930906,1017.79433191554
4,-12.453995829156,1017.79433191554
5,-13.0481466347744,1017.63452749853
6,-17.5094108766694,1017.95413633254
7,-15.9154332863772,1018.43354958356
8,-14.9090600893623,1019.07276725159
9,-16.7252766495394,1019.2325716686
10,-12.7733298788793,1019.71198491962
11,-7.7378861943732,1019.3923760856
12,-6.88308338572646,1018.43354958356
13,-6.77338676699179,1017.31491866452
14,-9.77094948103341,1016.35609216248
15,-10.6316561339214,1016.03648332846
16,-11.0377475893971,1015.87667891146
17,-11.3388893610978,1016.03648332846
18,-9.98549990717307,1016.35609216248
19,-12.9730206153384,1016.35609216248
20,-16.1040930659719,1016.9953098305
21,-17.1684201606722,1016.67570099649
22,-17.9383772821927,1016.51589657948
23,-18.1266295804863,1016.51589657948
24,-18.044092708973,1016.19628774547
