Station ID,Date,Hour,Atm P,T air,Dew point,RH
466920,20060101,1,1020.1,19.6,15.8,79
466920,20060101,2,1019.7,19.3,16.1,82
466920,20060101,3,1019.6,19.4,16.2,82
466920,20060101,4,1019.6,19.3,16,81
466920,20060101,5,1019.8,19,15.7,81
466920,20060101,6,1020.3,19,15.5,80
466920,20060101,7,1020.6,18.8,15.4,81
466920,20060101,8,1021.4,19.3,15.8,80
466920,20060101,9,1021.2,20.2,16.4,79
466920,20060101,10,1020.6,20.8,16.3,75
466920,20060101,11,1019.5,21.6,16.6,73
466920,20060101,12,1018.4,22.6,16.8,70
466920,20060101,13,1017.4,22.3,16.2,68
466920,20060101,14,1017,21.9,15.6,67
466920,20060101,15,1016.9,21.3,15.5,70
466920,20060101,16,1017.6,20.7,15.1,70
466920,20060101,17,1018.1,20.4,14.8,70
466920,20060101,18,1018.7,20.2,14.5,70
466920,20060101,19,1019.2,20.2,14.9,72
466920,20060101,20,1019.5,19.9,14.9,73
466920,20060101,21,1019.8,19.3,14.9,76
466920,20060101,22,1019.8,19.1,14.9,77
466920,20060101,23,1019.7,18.9,14.2,74
466920,20060101,24,1019.4,19,14.2,74
466920,20060102,1,1019.3,19,14,73
466920,20060102,2,1019.4,18.7,14.1,75
466920,20060102,3,1019.4,18.2,14.1,77
466920,20060102,4,1019.6,17.4,13.9,80
466920,20060102,5,1020.1,18.1,12.4,69
466920,20060102,6,1020.6,17.9,12.1,69
466920,20060102,7,1020.9,17.6,11.7,68
466920,20060102,8,1021.5,18.4,12.2,67
466920,20060102,9,1022.2,18.5,12,66
466920,20060102,10,1022.1,18.9,11.9,64
466920,20060102,11,1021.3,19.3,11.9,62
466920,20060102,12,1020.1,18.9,12.3,66
466920,20060102,13,1018.5,19.3,11.8,62
466920,20060102,14,1017.6,19.8,12.7,64
466920,20060102,15,1017.5,19.1,12,63
466920,20060102,16,1017.9,19.1,12.3,65
466920,20060102,17,1018.8,18.7,12,65
466920,20060102,18,1019,18.5,12.6,68
466920,20060102,19,1019.2,18.4,12.3,68
466920,20060102,20,1019.3,18.2,12.4,69
466920,20060102,21,1019.5,18.2,12.7,70
466920,20060102,22,1019.5,17.8,12.7,72
466920,20060102,23,1019.4,17.8,12.4,71
466920,20060102,24,1019.4,17.4,12.4,72
466920,20060103,1,1019.7,17.4,12.2,72
466920,20060103,2,1019.7,17.6,12,70
466920,20060103,3,1019.8,17.1,12.1,72
466920,20060103,4,1019.1,16.9,12,73
466920,20060103,5,1019.2,17,11.5,70
466920,20060103,6,1019.1,16.9,11.4,70
466920,20060103,7,1018.8,17.2,11.3,68
466920,20060103,8,1018.8,17.2,11.6,70
466920,20060103,9,1018.4,19,12.4,66
466920,20060103,10,1018.1,20.2,13,63
466920,20060103,11,1017.2,21.4,13.6,61
466920,20060103,12,1016.3,20.8,13.7,64
466920,20060103,13,1015.4,20.6,13.6,64
466920,20060103,14,1014.7,21.1,14,64
466920,20060103,15,1014.2,22.2,14.4,61
466920,20060103,16,1014.9,21,14.1,65
466920,20060103,17,1015.4,20,14.1,69
466920,20060103,18,1015.8,19.6,14,70
466920,20060103,19,1016.1,19.3,14.1,72
466920,20060103,20,1015.9,19,14.3,74
466920,20060103,21,1015.4,19,14.2,74
466920,20060103,22,1015,19.1,14.2,73
466920,20060103,23,1014.9,19,14.2,74
466920,20060103,24,1014.7,18.5,14.2,76
466920,20060104,1,1014.9,17.5,14.1,80
466920,20060104,2,1014.9,17.4,13.1,76
466920,20060104,3,1014.9,17.2,12.7,75
466920,20060104,4,1014.7,16.8,12.5,76
466920,20060104,5,1015.1,16.4,12.3,77
466920,20060104,6,1015.1,16.4,11.9,75
466920,20060104,7,1015.4,16.2,11.8,75
466920,20060104,8,1015.5,16.9,12.2,74
466920,20060104,9,1015.6,19.7,13.9,69
466920,20060104,10,1015.2,21.3,14.8,66
466920,20060104,11,1014.3,22.5,14.9,62
466920,20060104,12,1013.1,23.5,16,63
466920,20060104,13,1012.3,23.6,16.3,64
466920,20060104,14,1011.6,23.7,16.4,64
466920,20060104,15,1011.6,23.2,16,64
466920,20060104,16,1012.1,21.7,15.8,69
466920,20060104,17,1012.5,21.4,15.7,70
466920,20060104,18,1013.1,20.8,15.6,72
466920,20060104,19,1013.6,20.1,15.9,77
466920,20060104,20,1014.1,19.6,16.1,80
466920,20060104,21,1014.5,19.2,15.8,81
466920,20060104,22,1014.7,18.8,15.9,83
466920,20060104,23,1015.5,18.6,15.6,83
466920,20060104,24,1015.9,18.3,15.1,82
466920,20060105,1,1016.5,18.2,15.3,83
466920,20060105,2,1016.7,18.3,15.2,82
466920,20060105,3,1017.2,18,15.6,86
466920,20060105,4,1017.6,17.5,14.8,84
466920,20060105,5,1018.3,17.2,14.2,83
466920,20060105,6,1019.4,16.6,12.9,79
466920,20060105,7,1020.3,16.2,12.1,77
466920,20060105,8,1021.8,15.8,11.5,76
466920,20060105,9,1022.7,15.5,11.1,75
466920,20060105,10,1023.2,15.1,11,76
466920,20060105,11,1022.9,14.8,10.9,77
466920,20060105,12,1022,14.9,11.2,79
466920,20060105,13,1021.3,14.7,10.8,77
466920,20060105,14,1020.8,14.6,11,79
466920,20060105,15,1020.7,14.4,10.6,78
466920,20060105,16,1021.1,14.1,10.2,77
466920,20060105,17,1022.2,13.7,10,78
466920,20060105,18,1023.2,13.6,10.2,80
466920,20060105,19,1023.6,13.5,9.6,77
466920,20060105,20,1024.1,13.2,9.7,79
466920,20060105,21,1024.2,13,9.3,78
466920,20060105,22,1024.1,12.9,9.2,78
466920,20060105,23,1024.2,12.7,9.3,80
466920,20060105,24,1024.3,12.6,9.1,79
466920,20060106,1,1024.5,12.5,9.2,80
466920,20060106,2,1023.7,11.7,9.4,86
466920,20060106,3,1023.5,11.8,9.4,85
466920,20060106,4,1023.7,12,9.7,86
466920,20060106,5,1024.1,11.8,9.5,86
466920,20060106,6,1024.9,11.7,10.1,90
466920,20060106,7,1024.8,11.5,9.3,86
466920,20060106,8,1025.7,12,8.9,81
466920,20060106,9,1026.1,12,8.7,80
466920,20060106,10,1025.7,11.8,9.1,84
466920,20060106,11,1025.1,11.9,8.1,78
466920,20060106,12,1024.4,11.7,7.7,76
466920,20060106,13,1023.9,11.3,7.2,76
466920,20060106,14,1023.6,10.5,6.5,76
466920,20060106,15,1023.6,10.6,6,73
466920,20060106,16,1024.4,9.7,6.8,82
466920,20060106,17,1025.1,9.8,6.1,78
466920,20060106,18,1026,9.1,7.4,89
466920,20060106,19,1026.8,9.5,8.5,93
466920,20060106,20,1027.1,9.3,7.5,89
466920,20060106,21,1027.3,9.3,5.7,78
466920,20060106,22,1027.2,9.5,5.2,75
466920,20060106,23,1026.8,9.8,4.1,68
466920,20060106,24,1026.8,10,4,66
466920,20060107,1,1026.9,9.7,5,72
466920,20060107,2,1026.6,9.7,5.5,75
466920,20060107,3,1025.9,9.6,3.2,64
466920,20060107,4,1025.8,9.6,4,68
466920,20060107,5,1025.8,9.6,3.3,65
466920,20060107,6,1026.4,9.6,3.5,66
466920,20060107,7,1027.1,9.6,3.7,67
466920,20060107,8,1027.4,9.7,3.8,67
466920,20060107,9,1027.9,9.8,4,67
466920,20060107,10,1027.4,9.9,4.9,71
466920,20060107,11,1026.5,8.9,6,82
466920,20060107,12,1025.1,9.3,6.7,84
466920,20060107,13,1024.6,9.7,6.7,82
466920,20060107,14,1024.1,9.5,7.2,86
466920,20060107,15,1024.2,9.4,7.4,87
466920,20060107,16,1024.6,9.3,7.5,89
466920,20060107,17,1025.1,9.3,7.6,89
466920,20060107,18,1025.5,9.4,8.1,92
466920,20060107,19,1025.9,9.8,8.3,90
466920,20060107,20,1025.7,10,8.1,88
466920,20060107,21,1025.6,10.1,8.6,90
466920,20060107,22,1025.4,10.5,8.8,89
466920,20060107,23,1025,11,8.9,87
466920,20060107,24,1025.1,11,8.8,86
466920,20060108,1,1024.6,11,9.1,88
466920,20060108,2,1024.3,11.5,9.2,86
466920,20060108,3,1023.8,11.5,9.2,86
466920,20060108,4,1023.3,11.5,9.2,86
466920,20060108,5,1023,12.6,9.1,79
466920,20060108,6,1023.2,12.9,9.1,78
466920,20060108,7,1023.1,12.7,9.2,79
466920,20060108,8,1023.5,13.6,9.4,76
466920,20060108,9,1023.7,15.3,10.2,72
466920,20060108,10,1023.5,15.5,9.4,67
466920,20060108,11,1022.6,15.8,9.6,67
466920,20060108,12,1021.7,15.9,10.1,68
466920,20060108,13,1021,14.9,10.1,73
466920,20060108,14,1020.2,14.7,10.5,76
466920,20060108,15,1020,14.4,10.5,77
466920,20060108,16,1020,14.4,10,75
466920,20060108,17,1020.3,14.3,9.9,75
466920,20060108,18,1021,14.1,10.2,77
466920,20060108,19,1021.3,14,10.7,80
466920,20060108,20,1021.3,13.9,11.3,84
466920,20060108,21,1021.2,13.9,11.8,87
466920,20060108,22,1021.1,14.1,12,87
466920,20060108,23,1020.6,14.3,12,86
466920,20060108,24,1020.7,14.3,12.1,87
466920,20060109,1,1020.9,14,12.4,90
466920,20060109,2,1021.1,14.3,12.3,88
466920,20060109,3,1020.8,14.2,12.3,88
466920,20060109,4,1020.8,14.1,12.2,88
466920,20060109,5,1021.1,14,11.9,87
466920,20060109,6,1021.5,14.1,12.2,88
466920,20060109,7,1021.4,14.4,12.2,87
466920,20060109,8,1022,14.8,12.1,84
466920,20060109,9,1022.6,15.5,12.2,81
466920,20060109,10,1022,16.8,12.7,77
466920,20060109,11,1021.7,17.2,12.2,72
466920,20060109,12,1020.5,17.5,12.6,73
466920,20060109,13,1019.6,16.9,11.7,71
466920,20060109,14,1018.9,17.3,11.6,69
466920,20060109,15,1018.8,17,11.6,70
466920,20060109,16,1019.5,16.6,11.7,73
466920,20060109,17,1019.7,16.2,11.8,75
466920,20060109,18,1020,16.2,11.9,76
466920,20060109,19,1020.3,16.5,12.1,75
466920,20060109,20,1020.9,16.3,12.6,79
466920,20060109,21,1021.3,16.4,12.6,78
466920,20060109,22,1021.8,16.2,12.8,80
466920,20060109,23,1022,15.6,13.1,85
466920,20060109,24,1020.9,15.5,12.6,83
466920,20060110,1,1021.2,15.4,12.4,82
466920,20060110,2,1021.2,14.7,12.8,88
466920,20060110,3,1020.1,14.8,12.6,87
466920,20060110,4,1019.7,15.1,12.7,86
466920,20060110,5,1019.9,15.7,12.4,81
466920,20060110,6,1020.1,15.9,12.2,79
466920,20060110,7,1020.3,15.9,12.1,78
466920,20060110,8,1020.6,16.5,12.6,78
466920,20060110,9,1020.7,17.9,13.4,75
466920,20060110,10,1020.1,18.6,13.4,72
466920,20060110,11,1019.1,18.9,13.5,71
466920,20060110,12,1017.9,19.1,13.5,70
466920,20060110,13,1016.8,19.4,13.8,70
466920,20060110,14,1016,19.5,14,71
466920,20060110,15,1015.5,20,14.3,70
466920,20060110,16,1015.6,19.9,14.4,71
466920,20060110,17,1016.2,19.4,14.3,72
466920,20060110,18,1016.7,19.2,14.7,75
466920,20060110,19,1017.2,19,14.9,77
466920,20060110,20,1017.8,18.8,15.2,80
466920,20060110,21,1017.8,18.9,15.4,80
466920,20060110,22,1017.9,19.1,15.7,81
466920,20060110,23,1017.6,18.9,15.7,82
466920,20060110,24,1017.1,18.8,15.6,82
466920,20060111,1,1016.4,18.9,15.5,81
466920,20060111,2,1016,18.9,15.4,80
466920,20060111,3,1015.8,19.1,15.4,79
466920,20060111,4,1015.6,19.2,15.2,78
466920,20060111,5,1015.9,19.2,15.3,78
466920,20060111,6,1016.3,19,15.5,80
466920,20060111,7,1016.7,19.1,15.5,80
466920,20060111,8,1017.5,19.2,15.7,80
466920,20060111,9,1018.4,19.8,15.9,78
466920,20060111,10,1018.3,20.8,15.8,73
466920,20060111,11,1018,20.6,16.6,78
